# Neutron scattering lengths, from https://github.com/pkienzle/periodictable
# isotope, real_scattering_length, imaginary_scattering_length
195-Pt, 8.91, -0.007647385984427141
196-Pt, 9.89, -0.00020022246941045604
198-Pt, 7.8, -0.0010177975528364851
Au, 7.9, -0.027433259176863182
197-Au, 7.9, -0.027433259176863182
Hg, 12.595, -0.10353170189099
196-Hg, 30.3, -0.8565072302558399
198-Hg, nan, -0.0005561735261401557
199-Hg, 16.9, -0.5978865406006674
200-Hg, nan, -0.01668520578420467
201-Hg, nan, -0.0021690767519466072
202-Hg, 11.002, -0.0013598442714126808
204-Hg, nan, -0.00011957730812013348
Tl, 8.776, -0.0009538375973303672
203-Tl, 8.51, -0.0031701890989988876
205-Tl, 8.87, -2.8921023359288096e-05
Pb, 9.401, -4.755283648498332e-05
204-Pb, 10.893, -0.00018075639599555063
206-Pb, 9.221, -8.342602892102336e-06
207-Pb, 9.286, -0.00019438264738598442
208-Pb, 9.494, -1.3348164627363737e-07
Bi, 8.532, -9.39933259176863e-06
209-Bi, 8.532, -9.39933259176863e-06
Ra, 10.0, -0.003559510567296997
226-Ra, 10.0, -0.003559510567296997
Th, 10.31, -0.002049499443826474
232-Th, 10.31, -0.002049499443826474
Pa, 9.1, -0.055784204671857615
231-Pa, 9.1, -0.055784204671857615
U, 8.417, -0.0021051167964404897
233-U, 10.1, -0.15981646273637376
234-U, 12.4, -0.027836484983314792
235-U, 10.5, -0.189349276974416
238-U, 8.407, -0.0007452725250278087
Np, 10.55, -0.0489154616240267
237-Np, 10.55, -0.0489154616240267
Pu, 7.7, -0.2828976640711902
239-Pu, 7.7, -0.2828976640711902
240-Pu, 3.5, -0.08053392658509456
242-Pu, 8.1, -0.005144605116796441
Am, 8.3, -0.02093993325917686
243-Am, 8.3, -0.02093993325917686
Cm, 9.5, -0.004505005561735261
244-Cm, 9.5, -0.004505005561735261
246-Cm, 9.3, -0.00037819799777530594
248-Cm, 7.7, -0.0008342602892102336
