Element,  Z,   dZ,       a1,       a2,        a3,        a4,        a5,        b1,        b2,     b3,        b4,      b5
Y3+,      39, -3,      0.465E+0, 0.923E+0, 0.241E+1,  -0.231E+1, 0.248E+1,  0.240E+0, 0.143E+1, 0.645E+1, 0.997E+1, 0.122E+2
Zr,       40, 0.0,     0.6719,   1.4684,   3.1668,    3.9557,    2.8920,    0.3036,   2.1249,   8.9236,   36.8458,  108.2049
Zr4+,     40, -4,      0.234E+0, 0.642E+0, 0.747E+0,  0.147E+1,  0.377E+0,  0.113E+0, 0.736E+0, 0.254E+1, 0.672E+1, 0.147E+2
Nb,       41, 0.0,     0.6123,   1.2677,   3.0348,    3.3841,    2.3683,    0.2709,   1.7683,   7.2489,   27.9465,  98.5624
Nb3+,     41, -3,      0.377E+0, 0.749E+0, 0.129E+1,  0.161E+1,  0.481E+0,  0.184E+0, 0.102E+1, 0.380E+1, 0.944E+1, 0.257E+2
Nb5+,     41, -5,      0.828E-1, 0.271E+0, 0.654E+0,  0.124E+1,  0.829E+0,  0.369E-1, 0.261E+0, 0.957E+0, 0.394E+1, 0.944E+1
Mo,       42, 0.0,     0.6773,   1.4798,   3.1788,    3.0824,    1.8384,    0.2920,   2.0606,   8.1129,   30.5336,  100.0658
Mo3+,     42, -3,      0.401E+0, 0.756E+0, 0.138E+1,  0.158E+1,  0.497E+0,  0.191E+0, 0.106E+1, 0.384E+1, 0.938E+1, 0.246E+2
Mo5+,     42, -5,      0.479E+0, 0.846E+0, 0.156E+2,  -0.152E+2, 0.160E+1,  0.241E+0, 0.146E+1, 0.679E+1, 0.713E+1, 0.104E+2
Mo6+,     42, -6,      0.203E+0, 0.567E+0, 0.646E+0,  0.116E+1,  0.171E+0,  0.971E-1, 0.647E+0, 0.228E+1, 0.561E+1, 0.124E+2
Tc,       43, 0.0,     0.7082,   1.6392,   3.1993,    3.4327,    1.8711,    0.2976,   2.2106,   8.5246,   33.1456,  96.6377
Ru,       44, 0.0,     0.6735,   1.4934,   3.0966,    2.7254,    1.5597,    0.2773,   1.9716,   7.3249,   26.6891,  90.5581
Ru3+,     44, -3,      0.428E+0, 0.773E+0, 0.155E+1,  0.146E+1,  0.486E+0,  0.191E+0, 0.109E+1, 0.382E+1, 0.908E+1, 0.217E+2
Ru4+,     44, -4,      0.282E+0, 0.653E+0, 0.114E+1,  0.153E+1,  0.418E+0,  0.125E+0, 0.753E+0, 0.285E+1, 0.701E+1, 0.175E+2
Rh,       45, 0.0,     0.6413,   1.3690,   2.9854,    2.6952,    1.5433,    0.2580,   1.7721,   6.3854,   23.2549,  85.1517
Rh3+,     45, -3,      0.352E+0, 0.723E+0, 0.150E+1,  0.163E+1,  0.499E+0,  0.151E+0, 0.878E+0, 0.328E+1, 0.816E+1, 0.207E+2
Rh4+,     45, -4,      0.397E+0, 0.725E+0, 0.151E+1,  0.119E+1,  0.251E+0,  0.177E+0, 0.101E+1, 0.362E+1, 0.856E+1, 0.189E+2
Pd,       46, 0.0,     0.5904,   1.1775,   2.6519,    2.2875,    0.8689,    0.2324,   1.5019,   5.1591,   15.5428,  46.8213
Pd2+,     46, -2,      0.935E+0, 0.311E+1, 0.246E+2,  -0.436E+2, 0.211E+2,  0.393E+0, 0.406E+1, 0.431E+2, 0.540E+2, 0.698E+2
Pd4+,     46, -4,      0.348E+0, 0.640E+0, 0.122E+1,  0.145E+1,  0.427E+0,  0.151E+0, 0.832E+0, 0.285E+1, 0.659E+1, 0.156E+2
Ag,       47, 0.0,     0.6377,   1.3790,   2.8294,    2.3631,    1.4553,    0.2466,   1.6974,   5.7656,   20.0943,  76.7372
Ag1+,     47, -1,      0.503E+0, 0.940E+0, 0.217E+1,  0.199E+1,  0.726E+0,  0.199E+0, 0.119E+1, 0.405E+1, 0.113E+2, 0.324E+2
Ag2+,     47, -2,      0.431E+0, 0.756E+0, 0.172E+1,  0.178E+1,  0.526E+0,  0.175E+0, 0.979E+0, 0.330E+1, 0.824E+1, 0.214E+2
Cd,       48, 0.0,     0.6364,   1.4247,   2.7802,    2.5973,    1.7886,    0.2407,   1.6823,   5.6588,   20.7219,  69.1109
Cd2+,     48, -2,      0.425E+0, 0.745E+0, 0.173E+1,  0.174E+1,  0.487E+0,  0.168E+0, 0.944E+0, 0.314E+1, 0.784E+1, 0.204E+2
In,       49, 0.0,     0.6768,   1.6589,   2.7740,    3.1835,    2.1326,    0.2522,   1.8545,   6.2936,   25.1457,  84.5448
In3+,     49, -3,      0.417E+0, 0.755E+0, 0.159E+1,  0.136E+1,  0.451E+0,  0.164E+0, 0.960E+0, 0.308E+1, 0.703E+1, 0.161E+2
Sn,       50, 0.0,     0.7224,   1.9610,   2.7161,    3.5603,    1.8972,    0.2651,   2.0604,   7.3011,   27.5493,  81.3349
Sn2+,     50, -2,      0.797E+0, 0.213E+1, 0.215E+1,  -0.164E+1, 0.272E+1,  0.317E+0, 0.251E+1, 0.904E+1, 0.242E+2, 0.264E+2
Sn4+,     50, -4,      0.261E+0, 0.642E+0, 0.153E+1,  0.136E+1,  0.177E+0,  0.957E-1, 0.625E+0, 0.251E+1, 0.631E+1, 0.159E+2
Sb,       51, 0.0,     0.7106,   1.9247,   2.6149,    3.8322,    1.8899,    0.2562,   1.9646,   6.8852,   24.7648,  68.9168
Sb3+,     51, -3,      0.552E+0, 0.114E+1, 0.187E+1,  0.136E+1,  0.414E+0,  0.212E+0, 0.142E+1, 0.421E+1, 0.125E+2, 0.290E+2
