# Neutron scattering lengths: http://www.ncnr.nist.gov/resources/n-lengths/
# X-ray Form factor: ITC, p578
# Magnetic Form Factor: https://www.ill.eu/sites/ccsl/ffacts/ffactnode4.html
# Element weights and radii: http://en.wikipedia.org/wiki/List_of_elements_by_atomic_properties
# X-ray edges: From http://xdb.lbl.gov/Section1/Table_1-1.pdf
  Z Element Name           Coh_b    Inc_b      Nabs     Nscat    a1         b1         a2         b2         a3         b3         a4         b4         c          j0_A     j0_a     j0_B     j0_b     j0_C     j0_c     j0_D     Radii ValenceE Weight      K       L1      L2      L3      M1      M2      M3      M4      M5      N1      N2      N3
 28 Ni      Nickel        10.3000      nan     4.4900  18.5000  12.837600   3.878500   7.292000   0.256500   4.443800  12.176300   2.380000  66.342100   1.034100  -0.0172  35.7392   0.3174  14.2689   0.7136   4.5661  -0.0143 135.000       2  58.693400   8.333   1.009   0.870   0.853   0.111   0.068   0.066   0.000   0.000   0.000   0.000   0.000
 29 Cu      Copper         7.7180      nan     3.7800   8.0300  13.338000   3.582800   7.167600   0.247000   5.615800  11.396600   1.673500  64.812600   1.191000   0.0909  34.9838   0.4088  11.4432   0.5128   3.8248  -0.0124 135.000       1  63.546000   8.979   1.097   0.952   0.933   0.122   0.077   0.075   0.000   0.000   0.000   0.000   0.000
 30 Zn      Zinc           5.6800      nan     1.1100   4.1310  14.074300   3.265500   7.031800   0.233300   5.165200  10.316300   2.410000  58.709700   1.304100   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 135.000       2  65.380000   9.659   1.196   1.045   1.022   0.140   0.091   0.089   0.010   0.010   0.000   0.000   0.000
 31 Ga      Gallium        7.2880      nan     2.7500   6.8300  15.235400   3.066900   6.700600   0.241200   4.359100  10.780500   2.962300  61.413500   1.718900   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 130.000       3  69.723000  10.367   1.299   1.143   1.116   0.160   0.103   0.100   0.019   0.019   0.000   0.000   0.000
 32 Ge      Germanium      8.1850      nan     2.2000   8.6000  16.081600   2.850900   6.374700   0.251600   3.706800  11.446800   3.683000  54.762500   2.131300   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 125.000       4  72.640000  11.103   1.415   1.248   1.217   0.180   0.125   0.121   0.030   0.029   0.000   0.000   0.000
 33 As      Arsenic        6.5800  -0.6900     4.5000   5.5000  16.672300   2.634500   6.070100   0.264700   3.431300  12.947900   4.277900  47.797200   2.531000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 115.000       5  74.921600  11.867   1.527   1.359   1.324   0.205   0.146   0.141   0.042   0.042   0.000   0.000   0.000
 34 Se      Selenium       7.9700      nan    11.7000   8.3000  17.000600   2.409800   5.819600   0.272600   3.973100  15.237200   4.354300  43.816300   2.840900   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 115.000       6  78.960000  12.658   1.652   1.474   1.434   0.230   0.167   0.161   0.056   0.055   0.000   0.000   0.000
 35 Br      Bromine        6.7950      nan     6.9000   5.9000  17.178900   2.172300   5.235800  16.579600   5.637700   0.260900   3.985100  41.432800   2.955700   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 115.000       7  79.904000  13.474   1.782   1.596   1.550   0.257   0.189   0.182   0.070   0.069   0.000   0.000   0.000
 36 Kr      Krypton        7.8100      nan    25.0000   7.6800  17.355500   1.938400   6.728600  16.562300   5.549300   0.226100   3.537500  39.397200   2.825000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  88.000       8  83.798000  14.326   1.921   1.731   1.678   0.293   0.222   0.214   0.095   0.094   0.028   0.014   0.014
 37 Rb      Rubidium       7.0900      nan     0.3800   6.8000  17.178400   1.788800   9.643500  17.315100   5.139900   0.274800   1.529200 164.934000   3.487300   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 235.000       1  85.467800  15.200   2.065   1.864   1.804   0.327   0.249   0.239   0.113   0.112   0.030   0.016   0.015
